x_position/Potential,0,1,2,3,4,
0.300601,0.045109,0.052522,0.051869,0.047509,0.050026,
0.302605,0.045403,0.052853,0.052137,0.047764,0.050311,
0.304609,0.045696,0.053181,0.052404,0.048017,0.050595,
0.306613,0.045988,0.053509,0.052668,0.048270,0.050877,
0.308617,0.046281,0.053836,0.052931,0.048521,0.051159,
0.310621,0.046573,0.054161,0.053193,0.048771,0.051439,
0.312625,0.046865,0.054485,0.053453,0.049020,0.051719,
0.314629,0.047157,0.054807,0.053711,0.049268,0.051997,
0.316633,0.047448,0.055128,0.053967,0.049514,0.052273,
0.318637,0.047740,0.055448,0.054222,0.049759,0.052549,
0.320641,0.048030,0.055766,0.054475,0.050003,0.052823,
0.322645,0.048321,0.056082,0.054726,0.050246,0.053096,
0.324649,0.048611,0.056397,0.054975,0.050488,0.053368,
0.326653,0.048901,0.056709,0.055222,0.050729,0.053638,
0.328657,0.049191,0.057020,0.055468,0.050968,0.053907,
0.330661,0.049480,0.057329,0.055712,0.051206,0.054175,
0.332665,0.049769,0.057636,0.055953,0.051443,0.054441,
0.334669,0.050057,0.057941,0.056193,0.051678,0.054705,
0.336673,0.050345,0.058244,0.056431,0.051913,0.054969,
0.338677,0.050632,0.058544,0.056667,0.052146,0.055230,
0.340681,0.050919,0.058842,0.056901,0.052378,0.055491,
0.342685,0.051206,0.059138,0.057133,0.052608,0.055749,
0.344689,0.051492,0.059431,0.057362,0.052837,0.056006,
0.346693,0.051777,0.059721,0.057590,0.053065,0.056262,
0.348697,0.052062,0.060009,0.057815,0.053292,0.056516,
0.350701,0.052346,0.060294,0.058039,0.053518,0.056768,
0.352705,0.052630,0.060577,0.058260,0.053742,0.057018,
0.354709,0.052913,0.060856,0.058479,0.053965,0.057267,
0.356713,0.053195,0.061132,0.058695,0.054186,0.057514,
0.358717,0.053476,0.061406,0.058910,0.054407,0.057759,
0.360721,0.053757,0.061676,0.059122,0.054626,0.058002,
0.362725,0.054037,0.061943,0.059332,0.054843,0.058243,
0.364729,0.054316,0.062206,0.059539,0.055059,0.058483,
0.366733,0.054595,0.062466,0.059744,0.055274,0.058720,
0.368737,0.054872,0.062722,0.059947,0.055488,0.058955,
0.370741,0.055148,0.062975,0.060147,0.055700,0.059189,
0.372745,0.055424,0.063224,0.060344,0.055911,0.059420,
0.374749,0.055698,0.063469,0.060539,0.056120,0.059649,
0.376754,0.055972,0.063711,0.060732,0.056329,0.059877,
0.378758,0.056244,0.063948,0.060922,0.056535,0.060101,
